Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TotCmp,TotAtt,TotCmp%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,A-xA,KP0,pass_1/3,PPA,CrsPA,Prog,Matches
179,Éver Banega\Ever-Banega,ar ARG,MF,Sevilla,es La Liga,30,1988,29.6,61.5,74.6,82.4,1356.5,451.1,0.61,1.76,34.6,41.8,45.8,91.2,19.1,27.0,70.7,0.17,0.12,0.05,1.76,7.57,1.35,0.17,10.2,Matches
180,Mattia Bani\Mattia-Bani,it ITA,DF,Chievo,it Serie A,24,1993,29.0,34.8,43.5,79.9,755.4,289.9,0.03,0.59,5.9,24.4,27.5,88.6,10.3,15.4,67.3,0.00,0.01,-0.01,0.10,1.62,0.14,0.03,2.07,Matches
181,Léo Baptistão\Leo-Baptistao,br BRA,FWMF,Espanyol,es La Liga,25,1992,13.7,21.1,28.8,73.4,332.9,81.4,0.44,2.26,19.4,18.2,22.8,79.9,2.41,3.65,66.0,0.15,0.20,-0.05,1.61,1.24,1.17,0.29,2.70,Matches
182,Antonín Barák\Antonin-Barak,cz CZE,MFFW,Udinese,it Serie A,23,1994,3.7,41.1,49.5,83.1,669.7,155.7,1.08,1.62,66.7,34.9,40.8,85.4,5.14,7.03,73.1,0.00,0.00,0.00,0.54,1.89,0.27,0.27,4.59,Matches
183,Federico Barba\Federico-Barba,it ITA,DF,Chievo,it Serie A,24,1993,27.6,37.0,47.4,78.0,761.4,303.4,0.36,1.09,33.3,26.9,31.0,86.9,9.71,15.4,63.2,0.00,0.04,-0.04,0.43,2.68,0.65,0.29,4.78,Matches
184,Danilo Barbosa\Danilo-Barbosa,br BRA,MF,Nice,fr Ligue 1,22,1996,17.2,33.8,39.0,86.6,532.3,120.1,0.70,1.40,50.0,29.4,32.7,89.9,3.66,4.88,75.0,0.00,0.05,-0.05,0.81,2.73,0.29,0.00,2.91,Matches
185,Enis Bardhi\Enis-Bardhi,mk MKD,MF,Levante,es La Liga,23,1995,31.5,28.4,38.4,73.8,493.8,151.0,0.86,1.87,45.8,21.9,26.7,82.0,5.62,9.87,56.9,0.13,0.09,0.04,0.86,2.83,1.08,0.32,3.65,Matches
186,Francesco Bardi\Francesco-Bardi,it ITA,GK,Frosinone,it Serie A,26,1992,3.0,14.0,24.7,56.8,431.0,285.0,0.33,0.33,100.0,6.33,6.33,100.0,7.33,18.0,40.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
187,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,eng Premier League,33,1985,18.6,28.1,41.4,67.9,546.8,260.6,0.32,0.81,40.0,21.4,26.2,81.6,6.40,14.4,44.6,0.00,0.03,-0.03,0.32,3.28,1.08,0.32,6.29,Matches
188,Nicolò Barella\Nicolo-Barella,it ITA,MFFW,Cagliari,it Serie A,21,1997,34.5,44.4,55.8,79.5,792.7,209.1,0.70,2.09,33.3,35.5,40.7,87.2,8.23,13.0,63.1,0.09,0.09,0.00,1.25,4.38,1.51,0.26,5.16,Matches
189,Philipp Bargfrede\Philipp-Bargfrede,de GER,MFDF,Werder Bremen,de Bundesliga,29,1989,12.0,39.6,48.3,82.0,806.3,255.9,0.50,1.42,35.3,29.1,33.3,87.3,10.0,13.5,74.1,0.00,0.02,-0.02,0.42,6.25,0.75,0.08,5.58,Matches
190,Antonino Barillà\Antonino-Barilla,it ITA,MF,Parma,it Serie A,30,1988,29.1,20.8,29.1,71.2,361.0,129.9,0.52,1.62,31.9,16.2,19.7,82.2,4.09,7.87,52.0,0.07,0.05,0.01,0.62,3.16,0.48,0.07,3.23,Matches
191,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,eng Premier League,24,1993,13.8,63.8,70.5,90.5,1129.6,194.0,0.94,1.74,54.2,51.3,55.4,92.5,11.6,13.3,87.0,0.36,0.14,0.22,1.52,4.49,1.23,0.14,4.78,Matches
192,Aymen Barkok\Aymen-Barkok,de GER,MF,Düsseldorf,de Bundesliga,20,1998,5.7,31.8,40.9,77.7,635.3,173.5,0.53,2.46,21.4,23.5,27.7,84.8,7.72,10.7,72.1,0.00,0.04,-0.04,0.70,1.93,1.40,0.35,4.74,Matches
193,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,eng Premier League,28,1989,26.5,13.1,21.1,61.9,189.4,41.2,0.49,1.43,34.2,11.2,16.3,68.6,1.36,3.32,40.9,0.08,0.14,-0.06,0.75,0.87,0.49,0.08,1.70,Matches
194,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,eng Premier League,20,1997,11.2,22.9,30.7,74.7,316.6,84.3,0.63,2.41,25.9,20.8,25.5,81.5,1.52,2.77,54.8,0.18,0.13,0.05,1.43,1.43,1.16,0.36,3.13,Matches
195,Antonio Barragán\Antonio-Barragan,es ESP,DFMF,Betis,es La Liga,31,1987,10.4,51.9,62.5,83.1,870.3,323.5,0.58,1.83,31.6,43.8,49.2,89.1,7.50,11.4,65.5,0.00,0.08,-0.08,0.96,2.50,1.54,0.77,6.54,Matches
196,Antonio Barreca\Antonio-Barreca,it ITA,DF,Newcastle Utd,eng Premier League,23,1995,0.1,10.0,30.0,33.3,160.0,160.0,0.00,10.0,0.0,10.0,10.0,100.0,0.00,10.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,Matches
197,Antonio Barreca\Antonio-Barreca,it ITA,DF,Monaco,fr Ligue 1,23,1995,6.6,30.9,43.8,70.6,573.0,279.1,0.00,1.67,0.0,26.4,32.7,80.6,4.55,9.39,48.4,0.15,0.06,0.09,1.06,1.36,0.91,0.45,6.52,Matches
198,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,de Bundesliga,18,2000,1.0,22.0,34.0,64.7,512.0,165.0,0.00,0.00,,15.0,24.0,62.5,7.00,10.0,70.0,0.00,0.10,-0.10,1.00,4.00,0.00,0.00,3.00,Matches
199,Ander Barrenetxea\Ander-Barrenetxea,es ESP,FWMF,Real Sociedad,es La Liga,16,2001,4.4,19.8,26.1,75.7,285.5,65.0,0.23,1.59,14.3,18.2,21.4,85.1,1.36,3.18,42.9,0.00,0.16,-0.16,1.36,1.14,0.68,0.23,1.82,Matches
