Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
63,Bobby Allain\Bobby-Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
64,Allan\Allan,br BRA,MFDF,Eint Frankfurt,de Bundesliga,21,1997,2.0,0.00,0.00,0.00,1.00,0.00,0.00,0.0,1.02,0.00,0.00,,0.05,0.05,0.05,-0.05,-0.05,Matches
65,Allan\Allan,br BRA,MF,Napoli,it Serie A,27,1991,29.1,0.03,0.00,0.00,0.86,0.07,0.00,8.0,0.86,0.07,0.04,0.50,0.04,0.04,0.05,-0.01,-0.01,Matches
66,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,22,1996,20.3,0.25,0.00,0.00,1.97,0.89,0.05,45.0,1.97,0.89,0.13,0.28,0.25,0.25,0.13,-0.00,-0.00,Matches
67,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,eng Premier League,24,1994,8.4,0.00,0.00,0.00,2.26,0.95,0.00,42.1,2.25,0.95,0.00,0.00,0.18,0.17,0.08,-0.18,-0.17,Matches
68,Júnior Alonso\Junior-Alonso,py PAR,DFMF,Celta Vigo,es La Liga,25,1993,6.0,0.00,0.00,0.00,0.67,0.33,0.00,50.0,0.67,0.34,0.00,0.00,0.07,0.07,0.10,-0.07,-0.07,Matches
69,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,0.07,0.00,0.00,1.40,0.23,0.26,16.3,1.40,0.23,0.05,0.29,0.10,0.10,0.07,-0.03,-0.03,Matches
70,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,29,1989,6.3,0.16,0.00,0.00,0.63,0.32,0.00,50.0,0.63,0.32,0.25,0.50,0.03,0.03,0.05,0.13,0.13,Matches
71,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
