,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1888,Leonardo Pavoletti\Leonardo-Pavoletti,it ITA,FW,Cagliari,it Serie A,29,1988,30.4,28.8,28.5,0.36,0.00,0.00,9.80,0.23,0.30,0.00,0.00,0.00,0.00,13.2,8.22,7.37,2.80,15.8,3.09,0.03,2.04,20.5,0.07,0.56,0.39,0.86,Matches
1889,Dimitri Payet\Dimitri-Payet,fr FRA,MFFW,Marseille,fr Ligue 1,31,1987,21.2,57.3,46.1,11.2,3.77,0.38,8.07,3.68,10.0,5.99,0.28,0.85,0.19,34.7,6.79,15.8,6.84,48.3,0.80,0.99,0.24,39.6,0.33,1.23,1.46,1.93,Matches
1890,Nehuén Paz\Nehuen-Paz,ar ARG,DF,Bologna,it Serie A,25,1993,1.3,36.2,35.4,0.77,0.77,0.00,6.15,0.77,0.00,0.00,0.00,0.00,0.00,23.8,5.38,6.92,28.5,6.15,1.54,0.00,0.00,26.2,0.00,0.00,1.54,1.54,Matches
1891,Alfonso Pedraza\Alfonso-Pedraza,es ESP,DFFW,Villarreal,es La Liga,22,1996,23.3,42.6,35.5,7.12,0.09,0.04,7.04,1.03,4.08,0.00,0.00,0.00,0.00,24.2,10.6,7.81,30.1,3.35,1.29,7.04,0.13,31.2,0.13,0.77,0.69,2.70,Matches
1892,Pedro\Pedro,es ESP,FW,Chelsea,eng Premier League,31,1987,19.8,57.3,56.0,1.36,0.61,0.20,9.55,1.77,3.08,0.25,0.00,0.00,0.00,45.2,5.81,6.36,15.3,40.7,0.66,0.40,0.20,48.0,0.20,0.91,1.21,1.41,Matches
1893,João Pedro\Joao-Pedro,br BRA,FWMF,Cagliari,it Serie A,26,1992,28.4,28.8,25.5,3.31,0.60,0.07,6.65,1.13,2.01,1.23,0.04,0.04,0.04,16.7,6.06,6.06,2.82,21.3,2.18,0.18,0.95,20.7,0.07,0.70,0.60,1.65,Matches
1894,Pedrosa\Pedrosa,es ESP,DF,Espanyol,es La Liga,20,1998,8.5,36.4,27.9,8.47,0.12,0.00,4.59,0.24,1.76,0.12,0.00,0.00,0.00,19.6,8.00,8.71,23.2,3.29,1.41,8.24,0.00,28.6,0.24,0.47,0.59,0.82,Matches
1895,Stef Peeters\Stef-Peeters,be BEL,MF,Caen,fr Ligue 1,26,1992,4.5,41.8,40.2,1.56,0.22,0.00,6.89,2.22,2.44,1.11,0.00,0.00,0.00,30.2,2.89,8.67,34.2,6.44,1.11,0.00,0.00,31.8,0.44,0.44,1.56,1.56,Matches
1896,Gianluca Pegolo\Gianluca-Pegolo,it ITA,GK,Sassuolo,it Serie A,37,1981,2.3,31.7,17.0,14.8,2.17,0.00,0.43,1.74,0.00,0.00,0.00,0.00,0.00,8.70,3.04,20.0,18.3,7.39,0.43,0.00,3.91,20.0,0.00,1.74,0.00,0.43,Matches
1897,Peter Pekarík\Peter-Pekarik,sk SVK,DF,Hertha BSC,de Bundesliga,31,1986,2.4,58.8,48.3,10.4,0.00,0.00,7.92,2.50,3.33,0.00,0.00,0.00,0.00,27.1,11.7,20.0,2.92,41.3,3.33,10.4,0.00,45.4,0.00,0.42,0.83,2.92,Matches
1898,Pelé\Pele,gw GNB,MF,Monaco,fr Ligue 1,26,1991,5.2,39.4,38.5,0.96,0.58,0.00,5.58,1.15,0.19,0.00,0.00,0.00,0.00,31.5,2.50,5.38,2.31,33.5,1.92,0.38,0.19,32.9,0.19,0.96,0.58,0.77,Matches
1899,Yohann Pelé\Yohann-Pele,fr FRA,GK,Marseille,fr Ligue 1,35,1982,7.6,29.3,21.4,7.89,1.32,0.00,1.97,0.39,0.00,0.00,0.00,0.00,0.00,17.5,1.45,10.4,3.68,20.1,0.13,0.00,5.13,23.4,0.26,0.53,0.39,0.26,Matches
1900,Maxime Pélican\Maxime-Pelican,fr FRA,FW,Nice,fr Ligue 1,20,1998,1.0,13.0,11.0,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,7.00,2.00,4.00,6.00,5.00,2.00,0.00,0.00,5.00,0.00,0.00,2.00,0.00,Matches
1901,Pietro Pellegri\Pietro-Pellegri,it ITA,FWMF,Monaco,fr Ligue 1,17,2001,0.9,15.6,15.6,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,8.89,5.56,1.11,3.33,8.89,2.22,0.00,0.00,10.0,0.00,0.00,2.22,0.00,Matches
1902,Lorenzo Pellegrini\Lorenzo-Pellegrini,it ITA,MF,Roma,it Serie A,22,1996,20.2,48.9,42.6,6.34,1.78,0.30,8.61,2.52,6.19,4.06,0.20,0.54,0.10,32.0,6.29,10.6,4.60,41.8,1.09,0.45,0.45,36.4,0.05,1.24,0.99,1.44,Matches
1903,Luca Pellegrini\Luca-Pellegrini,it ITA,DF,Cagliari,it Serie A,19,1999,10.4,48.7,37.8,10.9,1.15,0.00,9.23,1.92,5.58,0.10,0.00,0.10,0.00,20.5,11.2,17.0,32.1,5.10,1.44,9.62,0.00,32.6,0.10,1.06,0.77,2.98,Matches
1904,Luca Pellegrini\Luca-Pellegrini,it ITA,DF,Roma,it Serie A,19,1999,1.8,70.6,58.9,11.7,2.22,0.00,11.7,2.22,3.33,0.00,0.00,0.00,0.00,40.6,22.8,7.22,42.8,12.8,5.00,9.44,0.00,56.7,0.56,2.22,1.11,1.67,Matches
1905,Théo Pellenard\Theo-Pellenard,fr FRA,DF,Angers,fr Ligue 1,24,1994,5.5,58.2,48.9,9.27,0.55,0.00,8.36,0.73,3.09,0.18,0.18,0.00,0.00,37.8,9.82,10.5,38.7,8.91,1.09,8.55,0.18,46.7,0.00,1.45,1.27,1.64,Matches
1906,Sergio Pellissier\Sergio-Pellissier,it ITA,FW,Chievo,it Serie A,39,1979,10.6,18.5,17.2,1.32,0.09,0.09,4.43,0.47,0.75,0.09,0.00,0.00,0.00,11.1,3.68,3.68,4.62,10.7,1.51,0.00,0.47,13.5,0.19,0.19,0.47,0.85,Matches
1907,Andy Pelmard\Andy-Pelmard,fr FRA,DF,Nice,fr Ligue 1,18,2000,3.1,61.0,47.1,13.9,2.58,0.00,4.19,0.00,0.32,0.00,0.00,0.00,0.00,42.6,10.6,7.74,9.03,39.7,0.65,11.3,0.32,52.9,0.00,1.61,1.61,0.97,Matches
1908,Lee Peltier\Lee-Peltier,eng ENG,DF,Cardiff City,eng Premier League,31,1986,17.2,25.7,19.6,6.10,0.52,0.00,4.65,0.35,0.35,0.00,0.00,0.00,0.00,10.0,4.36,11.3,0.87,15.2,2.67,5.58,0.06,16.2,0.29,1.16,0.41,0.81,Matches
1909,Federico Peluso\Federico-Peluso,it ITA,DF,Sassuolo,it Serie A,34,1984,15.1,55.8,52.1,3.64,1.79,0.00,9.93,1.19,0.26,0.00,0.00,0.00,0.00,39.1,7.09,9.60,45.3,5.63,1.92,1.85,0.00,47.4,0.26,1.13,0.99,0.66,Matches
1910,Rubén Peña\Ruben-Pena,es ESP,DF,Eibar,es La Liga,27,1991,29.7,65.0,51.2,13.7,1.08,0.07,9.23,2.49,7.27,0.03,0.00,0.03,0.00,28.1,12.9,23.9,6.06,43.2,2.59,12.6,0.24,44.2,0.34,1.35,1.31,3.20,Matches
1911,Nicolas Pépé\Nicolas-Pepe,ci CIV,FWMF,Lille,fr Ligue 1,23,1995,36.9,35.2,33.0,2.28,1.03,0.19,8.05,0.68,1.95,0.57,0.14,0.24,0.03,27.0,3.60,4.58,28.6,4.23,0.95,0.54,0.14,27.0,0.08,0.51,0.95,1.22,Matches
1912,Pepín\Pepin,gq EQG,MF,Parma,it Serie A,21,1996,0.9,32.2,28.9,3.33,2.22,1.11,6.67,1.11,3.33,1.11,0.00,0.00,0.00,23.3,2.22,6.67,3.33,26.7,2.22,0.00,0.00,24.4,0.00,0.00,0.00,2.22,Matches
1913,Andreas Pereira\Andreas-Pereira,br BRA,MF,Manchester Utd,eng Premier League,22,1996,6.7,53.7,51.9,1.79,0.60,0.45,9.55,2.09,1.94,0.90,0.15,0.00,0.00,40.1,4.93,8.66,6.12,45.1,1.94,0.15,0.15,44.3,0.00,1.04,0.75,1.34,Matches
1914,Matheus Pereira\Matheus-Pereira,br BRA,MFFW,Nürnberg,de Bundesliga,22,1996,13.7,34.9,32.6,2.26,0.44,0.29,6.93,2.26,1.82,0.73,0.00,0.00,0.00,24.8,5.91,4.16,28.2,4.96,0.58,0.88,0.22,25.0,0.22,1.31,1.31,1.53,Matches
1915,Pedro Pereira\Pedro-Pereira,pt POR,DFMF,Genoa,it Serie A,20,1998,15.4,44.4,33.7,10.7,0.32,0.13,7.14,1.10,3.83,0.13,0.00,0.00,0.13,21.8,10.1,12.5,4.68,27.5,1.43,10.3,0.13,31.3,0.00,1.30,0.71,1.75,Matches
1916,Ricardo Pereira\Ricardo-Pereira,pt POR,DFFW,Leicester City,eng Premier League,24,1993,34.7,56.4,47.3,9.02,0.26,0.09,11.2,0.63,3.00,0.03,0.00,0.00,0.00,32.4,10.5,13.5,6.28,37.6,2.65,8.73,0.09,43.1,0.09,0.98,1.82,2.10,Matches
1917,Roberto Pereyra\Roberto-Pereyra,ar ARG,FWMF,Watford,eng Premier League,27,1991,31.3,37.9,35.2,2.68,0.86,0.10,7.99,1.09,1.31,0.54,0.03,0.10,0.00,27.6,5.21,5.08,5.05,30.5,1.37,0.73,0.16,30.9,0.16,0.32,0.86,1.69,Matches
1918,Ayoze Pérez\Ayoze-Perez,es ESP,FWMF,Newcastle Utd,eng Premier League,25,1993,32.4,25.1,24.5,0.59,0.00,0.15,7.25,0.40,0.68,0.00,0.00,0.00,0.00,16.9,4.48,3.67,2.90,20.3,1.05,0.00,0.46,18.8,0.12,0.49,0.62,1.36,Matches
1919,Carles Pérez\Carles-Perez,es ESP,FW,Barcelona,es La Liga,20,1998,0.2,35.0,35.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.0,0.00,5.00,30.0,0.00,5.00,0.00,0.00,30.0,0.00,0.00,0.00,0.00,Matches
1920,Hernán Pérez\Hernan-Perez,py PAR,FWMF,Espanyol,es La Liga,29,1989,8.8,30.9,29.9,1.02,0.11,0.00,7.05,0.91,4.43,0.11,0.00,0.00,0.00,18.4,4.55,7.95,4.32,21.9,2.50,0.80,0.45,20.2,0.00,1.25,1.25,2.39,Matches
1921,Lucas Pérez\Lucas-Perez,es ESP,FW,West Ham,eng Premier League,29,1988,5.3,27.9,27.0,0.94,0.00,0.38,4.91,0.38,0.38,0.00,0.00,0.00,0.00,22.3,3.21,2.45,24.7,2.08,0.94,0.00,0.00,19.2,0.38,0.94,0.57,1.89,Matches
1922,Rubén Pérez\Ruben-Perez,es ESP,MF,Leganés,es La Liga,29,1989,27.5,50.3,48.7,1.60,1.35,0.15,7.38,1.67,0.15,0.04,0.00,0.00,0.00,32.7,8.29,9.27,2.84,42.8,3.13,0.04,0.22,40.4,0.36,0.80,0.95,0.76,Matches
1923,Stipe Perica\Stipe-Perica,hr CRO,FW,Frosinone,it Serie A,23,1995,5.3,18.9,17.9,0.94,0.00,0.19,3.77,0.00,0.19,0.00,0.00,0.00,0.00,12.5,2.45,3.96,3.21,11.3,3.21,0.00,0.38,13.6,0.00,0.57,0.38,0.38,Matches
1924,Mattia Perin\Mattia-Perin,it ITA,GK,Juventus,it Serie A,25,1992,9.0,25.0,16.1,8.89,1.33,0.00,2.00,1.56,0.00,0.00,0.00,0.00,0.00,12.9,1.67,10.4,3.56,16.7,0.00,0.00,4.56,19.3,0.11,0.44,0.00,0.22,Matches
1925,Ivan Perišić\Ivan-Perisic,hr CRO,FWMF,Inter,it Serie A,29,1989,30.0,47.1,43.4,3.67,0.50,0.10,9.37,2.03,6.77,1.13,0.07,0.60,0.13,27.4,7.73,11.9,18.0,23.1,2.50,2.00,0.50,32.1,0.10,1.10,0.87,2.53,Matches
1926,Diego Perotti\Diego-Perotti,ar ARG,FWMF,Roma,it Serie A,30,1988,7.4,48.1,44.5,3.65,0.41,0.14,8.78,1.35,5.95,2.30,1.08,0.00,0.00,34.7,5.95,7.43,6.76,38.6,1.35,0.95,0.14,36.2,0.00,1.08,1.22,1.89,Matches
1927,Loïc Perrin\Loic-Perrin,fr FRA,DF,Saint-Étienne,fr Ligue 1,32,1985,30.0,53.3,51.9,1.37,1.10,0.10,7.37,1.20,0.20,0.00,0.00,0.00,0.00,41.2,5.23,6.87,5.17,43.7,2.87,0.27,0.10,46.0,0.10,0.57,0.60,0.53,Matches
1928,Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,de Bundesliga,30,1987,8.5,40.8,30.7,10.1,1.53,0.00,2.24,0.94,0.00,0.00,0.00,0.00,0.00,18.1,3.41,19.3,4.47,29.8,0.00,0.00,4.35,30.5,0.35,1.18,0.12,0.24,Matches
1929,Matteo Pessina\Matteo-Pessina,it ITA,MF,Atalanta,it Serie A,21,1997,2.6,72.3,70.0,2.31,1.54,0.00,14.2,1.15,1.92,0.38,0.00,0.00,0.00,54.2,9.23,8.85,53.8,13.5,2.69,0.38,0.38,62.3,0.00,2.31,0.77,1.54,Matches
1930,Andrea Petagna\Andrea-Petagna,it ITA,FW,SPAL,it Serie A,23,1995,33.7,23.1,21.9,1.16,0.18,0.00,6.47,1.01,0.95,0.09,0.00,0.00,0.00,15.4,4.33,3.38,14.2,6.17,1.57,0.30,0.27,17.5,0.06,0.77,0.53,1.07,Matches
1931,Nils Petersen\Nils-Petersen,de GER,FW,Freiburg,de Bundesliga,29,1988,21.4,23.9,22.4,1.54,0.05,0.09,4.77,0.37,0.37,0.00,0.00,0.00,0.00,12.3,6.50,5.14,5.05,12.1,3.64,0.09,1.12,16.8,0.09,0.42,0.70,0.89,Matches
1932,Ondřej Petrák\Ondrej-Petrak,cz CZE,MF,Nürnberg,de Bundesliga,26,1992,18.0,40.3,39.3,1.00,0.83,0.00,7.28,0.56,0.17,0.00,0.00,0.00,0.00,28.9,4.17,7.17,4.11,30.7,4.00,0.06,0.28,34.4,0.11,0.33,0.28,0.44,Matches
1933,Germán Pezzella\German-Pezzella,ar ARG,DF,Fiorentina,it Serie A,27,1991,31.7,51.6,49.1,2.46,2.24,0.00,5.74,1.58,0.03,0.00,0.00,0.00,0.00,37.9,3.97,9.72,10.6,35.6,3.22,0.22,0.09,44.0,0.06,0.76,0.28,0.47,Matches
1934,Giuseppe Pezzella\Giuseppe-Pezzella,it ITA,DFMF,Udinese,it Serie A,20,1997,2.0,35.5,25.5,10.0,1.50,0.00,6.00,0.50,2.00,0.00,0.00,0.00,0.00,13.5,6.50,15.5,21.0,4.00,1.50,8.50,0.50,22.0,0.50,1.00,0.50,1.00,Matches
1935,Giuseppe Pezzella\Giuseppe-Pezzella,it ITA,DF,Genoa,it Serie A,20,1997,1.2,35.8,31.7,4.17,0.00,0.00,5.00,0.83,3.33,0.00,0.00,0.00,0.00,17.5,5.83,12.5,22.5,7.50,0.83,4.17,0.00,25.0,0.00,0.83,0.00,1.67,Matches
1936,Matthias Phaeton\Matthias-Phaeton,fr FRA,FWMF,Guingamp,fr Ligue 1,18,2000,0.6,20.0,18.3,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.3,3.33,3.33,1.67,16.7,1.67,0.00,0.00,18.3,0.00,0.00,0.00,0.00,Matches
1937,Maximilian Philipp\Maximilian-Philipp,de GER,FWMF,Dortmund,de Bundesliga,24,1994,8.4,27.4,26.2,1.19,0.24,0.00,4.40,0.36,0.24,0.00,0.00,0.00,0.00,21.4,4.40,1.55,4.40,19.9,1.31,0.24,0.71,21.7,0.00,0.12,0.71,0.95,Matches
1938,Lebogang Phiri\Lebogang-Phiri,za RSA,MF,Guingamp,fr Ligue 1,23,1994,21.4,47.8,47.0,0.79,0.56,0.09,7.76,1.50,0.42,0.19,0.05,0.00,0.00,37.8,4.72,5.28,7.29,37.6,2.06,0.05,0.19,41.6,0.00,0.47,0.89,0.98,Matches
1939,Krzysztof Piątek\Krzysztof-Piatek,pl POL,FW,Genoa,it Serie A,23,1995,17.7,18.1,16.8,1.36,0.06,0.00,4.01,0.34,0.51,0.00,0.00,0.00,0.00,12.2,3.28,2.66,2.26,12.9,1.47,0.28,0.28,12.8,0.06,0.23,0.56,0.96,Matches
1940,Krzysztof Piątek\Krzysztof-Piatek,pl POL,FW,Milan,it Serie A,23,1995,15.3,16.5,14.6,1.83,0.00,0.20,3.40,0.26,0.26,0.00,0.00,0.00,0.00,11.2,3.66,1.57,1.37,13.3,0.72,0.07,0.46,12.8,0.07,0.13,0.52,0.46,Matches
1941,Pablo Piatti\Pablo-Piatti,ar ARG,FWMF,Espanyol,es La Liga,29,1989,8.3,35.8,31.7,4.10,1.20,0.00,5.90,1.57,5.42,2.41,0.00,0.00,0.00,21.8,5.18,8.80,28.6,4.46,2.05,0.48,0.12,23.3,0.12,0.72,0.84,2.41,Matches
1942,Lucas Piazon\Lucas-Piazon,br BRA,MFFW,Chievo,it Serie A,24,1994,0.9,42.2,36.7,5.56,1.11,0.00,4.44,3.33,4.44,3.33,1.11,1.11,0.00,24.4,10.0,7.78,8.89,27.8,4.44,1.11,0.00,27.8,0.00,1.11,2.22,3.33,Matches
1943,Cristiano Piccini\Cristiano-Piccini,it ITA,DF,Valencia,es La Liga,25,1992,20.8,49.3,39.8,9.52,0.38,0.14,8.46,0.96,1.92,0.00,0.00,0.00,0.00,28.7,11.1,9.52,5.87,31.9,1.63,9.13,0.24,38.7,0.19,0.91,1.39,1.49,Matches
1944,Roberto Piccoli\Roberto-Piccoli,it ITA,FW,Atalanta,it Serie A,17,2001,0.5,16.0,16.0,0.00,0.00,0.00,8.00,2.00,0.00,0.00,0.00,0.00,0.00,8.00,6.00,2.00,0.00,8.00,0.00,0.00,0.00,6.00,0.00,2.00,0.00,2.00,Matches
1945,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,eng Premier League,24,1994,38.0,32.9,21.7,11.2,3.82,0.05,2.47,1.87,0.00,0.00,0.00,0.00,0.00,11.9,1.11,19.9,20.9,5.74,0.00,0.00,3.95,19.7,0.13,1.95,0.24,0.05,Matches
1946,Jérémy Pied\Jeremy-Pied,fr FRA,DF,Lille,fr Ligue 1,29,1989,5.2,65.2,53.3,11.9,0.96,0.00,12.3,0.38,2.88,0.00,0.00,0.00,0.00,35.8,15.8,13.7,5.96,43.7,3.46,11.0,0.38,50.8,0.00,0.77,1.54,2.31,Matches
1947,Ronaël Pierre-Gabriel\Ronael-Pierre-Gabriel,fr FRA,DF,Monaco,fr Ligue 1,20,1998,3.9,51.8,41.5,10.3,0.77,0.00,5.90,0.51,0.26,0.00,0.00,0.00,0.00,34.6,9.74,7.44,1.54,38.7,1.28,9.49,0.00,41.8,0.00,1.03,0.51,1.03,Matches
1948,Erik Pieters\Erik-Pieters,nl NED,DF,Amiens,fr Ligue 1,29,1988,14.0,51.8,37.6,14.2,2.00,0.07,6.57,1.71,2.93,0.43,0.00,0.00,0.00,23.4,11.9,16.6,33.4,2.71,3.07,11.8,0.14,37.3,0.21,0.79,1.14,2.14,Matches
1949,Tomás Pina Isla\Tomas-Pina-Isla,es ESP,MF,Alavés,es La Liga,30,1987,26.0,40.7,40.2,0.54,0.46,0.00,6.92,0.73,0.27,0.00,0.00,0.00,0.00,27.3,6.23,7.23,15.3,21.2,2.46,0.00,0.08,34.1,0.08,0.35,0.65,0.77,Matches
1950,Andrea Pinamonti\Andrea-Pinamonti,it ITA,FW,Frosinone,it Serie A,19,1999,18.1,22.7,22.0,0.66,0.00,0.06,6.41,0.50,0.61,0.00,0.00,0.00,0.00,13.0,6.30,3.31,2.27,15.9,1.77,0.06,0.77,16.5,0.17,0.33,0.66,0.99,Matches
1951,Carlo Pinsoglio\Carlo-Pinsoglio,it ITA,GK,Juventus,it Serie A,28,1990,1.0,36.0,22.0,14.0,0.00,0.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,17.0,5.00,14.0,16.0,15.0,0.00,0.00,4.00,28.0,0.00,3.00,0.00,0.00,Matches
1952,Virgile Pinson\Virgile-Pinson,fr FRA,FW,Reims,fr Ligue 1,22,1996,0.1,50.0,50.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,50.0,0.00,0.00,0.00,50.0,0.00,0.00,0.00,40.0,0.00,0.00,0.00,0.00,Matches
1953,Lenny Pintor\Lenny-Pintor,fr FRA,FW,Lyon,fr Ligue 1,17,2000,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Matches
1954,Gerard Piqué\Gerard-Pique,es ESP,DF,Barcelona,es La Liga,31,1987,35.0,69.4,67.1,2.34,2.00,0.09,8.46,1.66,0.00,0.00,0.00,0.00,0.00,55.3,5.43,8.63,2.77,60.7,3.60,0.34,0.37,63.7,0.14,0.63,0.40,0.37,Matches
1955,Facundo Píriz\Facundo-Piriz,uy URU,MF,Montpellier,fr Ligue 1,28,1990,1.3,46.2,43.8,2.31,1.54,0.00,6.92,0.77,0.00,0.77,0.00,0.00,0.00,36.2,0.77,9.23,6.92,36.2,1.54,0.00,0.00,36.2,0.00,1.54,0.00,2.31,Matches
1956,Fabio Pisacane\Fabio-Pisacane,it ITA,DF,Cagliari,it Serie A,32,1986,25.2,45.9,44.0,1.90,0.79,0.00,6.15,1.07,0.16,0.00,0.00,0.00,0.00,31.7,5.08,9.13,9.80,30.8,2.86,1.11,0.40,38.0,0.12,0.75,0.67,0.52,Matches
1957,Łukasz Piszczek\Lukasz-Piszczek,pl POL,DF,Dortmund,de Bundesliga,33,1985,19.5,69.2,59.2,10.0,0.77,0.10,9.28,0.56,1.85,0.00,0.00,0.00,0.00,46.3,9.49,13.4,4.36,49.0,4.97,9.23,0.10,55.5,0.05,1.03,1.18,2.15,Matches
1958,Claudio Pizarro\Claudio-Pizarro,pe PER,FW,Werder Bremen,de Bundesliga,39,1978,7.7,33.6,32.5,1.17,0.00,0.00,9.74,0.65,0.52,0.00,0.00,0.00,0.00,23.4,6.23,4.03,6.62,20.9,2.60,0.52,0.13,24.9,0.13,0.52,1.30,1.04,Matches
1959,Marko Pjaca\Marko-Pjaca,hr CRO,FWMF,Fiorentina,it Serie A,23,1995,8.3,28.7,28.0,0.72,0.00,0.00,4.70,1.20,1.33,0.24,0.00,0.00,0.00,20.6,3.61,4.46,3.01,23.1,1.33,0.36,0.36,21.2,0.00,0.72,0.60,1.93,Matches
1960,Miralem Pjanić\Miralem-Pjanic,ba BIH,MF,Juventus,it Serie A,28,1990,25.3,82.0,72.5,9.53,5.10,0.16,10.3,5.14,4.90,3.83,0.51,0.20,0.24,58.7,8.70,14.7,5.65,73.5,2.17,0.20,0.28,72.2,0.28,0.75,1.03,0.83,Matches
1961,Carles Planas\Carles-Planas,es ESP,DFMF,Girona,es La Liga,27,1991,4.7,47.4,40.2,7.23,0.64,0.00,7.23,1.28,2.98,0.00,0.00,0.00,0.00,26.8,9.15,11.5,31.5,5.53,3.40,6.60,0.00,35.1,0.00,1.06,0.85,1.06,Matches
1962,Óscar Plano\Oscar-Plano,es ESP,MFFW,Valladolid,es La Liga,27,1991,29.9,29.7,28.0,1.71,0.30,0.07,6.45,0.77,1.97,1.04,0.17,0.07,0.03,19.6,4.98,5.05,22.7,3.75,1.87,0.17,0.27,22.3,0.10,0.80,0.37,1.14,Matches
1963,Jaroslav Plašil\Jaroslav-Plasil,cz CZE,MF,Bordeaux,fr Ligue 1,36,1982,16.0,56.4,54.2,2.19,1.25,0.13,10.0,1.25,1.69,0.81,0.38,0.00,0.00,41.4,7.38,7.63,20.8,31.3,3.13,0.13,0.25,47.2,0.06,0.38,1.25,1.38,Matches
1964,Marvin Plattenhardt\Marvin-Plattenhardt,de GER,DF,Hertha BSC,de Bundesliga,26,1992,21.4,53.5,40.0,13.6,1.78,0.00,8.79,2.06,5.79,2.15,0.14,0.23,0.14,27.6,6.54,19.4,39.6,2.24,1.87,9.63,0.05,39.1,0.33,1.21,0.70,1.45,Matches
1965,Stiven Plaza\Stiven-Plaza,ec ECU,FWMF,Valladolid,es La Liga,19,1999,0.4,17.5,17.5,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,7.50,0.00,0.00,10.0,5.00,0.00,2.50,12.5,0.00,0.00,0.00,2.50,Matches
1966,Alassane Pléa\Alassane-Plea,fr FRA,FW,M'gladbach,de Bundesliga,25,1993,27.8,22.4,21.3,1.12,0.04,0.04,5.18,0.36,0.61,0.00,0.00,0.00,0.00,16.4,3.78,2.16,2.95,17.4,1.26,0.18,0.18,16.3,0.11,0.43,0.76,1.33,Matches
1967,Luca Plogmann\Luca-Plogmann,de GER,GK,Werder Bremen,de Bundesliga,18,2000,0.4,12.5,5.00,7.50,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,2.50,0.00,7.50,0.00,0.00,0.00,5.00,12.5,0.00,0.00,0.00,0.00,Matches
1968,Morgan Poaty\Morgan-Poaty,fr FRA,MF,Montpellier,fr Ligue 1,21,1997,1.0,46.0,40.0,6.00,0.00,0.00,16.0,0.00,7.00,0.00,0.00,0.00,0.00,25.0,8.00,13.0,36.0,2.00,2.00,6.00,0.00,29.0,0.00,1.00,2.00,2.00,Matches
1969,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,eng Premier League,25,1993,33.4,63.3,62.0,1.32,0.90,0.39,12.9,3.32,0.84,0.03,0.00,0.00,0.00,45.6,6.62,11.1,6.89,53.2,1.80,0.30,0.21,51.7,0.54,0.99,1.38,1.29,Matches
1970,Denis-Will Poha\Denis-Will-Poha,fr FRA,MF,Rennes,fr Ligue 1,21,1997,0.3,53.3,53.3,0.00,0.00,0.00,6.67,3.33,3.33,0.00,0.00,0.00,0.00,33.3,3.33,16.7,3.33,43.3,6.67,0.00,0.00,33.3,0.00,10.0,3.33,3.33,Matches
1971,Andrea Poli\Andrea-Poli,it ITA,MF,Bologna,it Serie A,28,1989,21.5,35.6,34.2,1.35,0.74,0.23,6.70,0.74,0.74,0.00,0.00,0.00,0.00,29.1,3.16,3.30,5.77,28.4,0.70,0.60,0.05,31.1,0.05,0.33,0.65,1.16,Matches
1972,Matteo Politano\Matteo-Politano,it ITA,FWMF,Inter,it Serie A,24,1993,28.3,52.2,45.9,6.25,1.17,0.18,8.45,2.23,7.49,3.50,0.25,0.18,0.18,33.3,6.64,12.2,42.8,6.47,1.06,1.55,0.14,37.8,0.25,1.10,1.38,1.87,Matches
1973,Pierre-Yves Polomat\Pierre-Yves-Polomat,fr FRA,DFMF,Saint-Étienne,fr Ligue 1,24,1993,10.6,53.0,43.5,9.53,0.47,0.00,8.49,0.85,3.30,0.00,0.00,0.00,0.00,32.1,13.0,7.92,39.2,3.68,0.66,9.06,0.00,42.5,0.28,0.94,0.57,2.36,Matches
1974,Giacomo Poluzzi\Giacomo-Poluzzi,it ITA,GK,SPAL,it Serie A,30,1988,0.1,30.0,30.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.0,0.00,0.00,20.0,10.0,0.00,0.00,0.00,30.0,0.00,0.00,0.00,0.00,Matches
