,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
50,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,es La Liga,29,1989,20.8,40.5,38.3,2.21,2.21,0.00,4.90,1.78,0.14,0.00,0.00,0.00,0.00,27.6,4.47,8.41,1.83,35.0,2.60,0.00,0.10,33.6,0.05,1.49,0.58,0.29,Matches
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,96.0,90.7,5.30,2.69,0.15,13.4,5.34,2.57,2.28,0.71,0.04,0.52,69.6,10.5,15.9,5.37,85.8,3.02,0.30,0.71,86.8,0.11,1.23,0.97,0.75,Matches
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,52.8,49.6,3.23,2.75,0.00,9.06,3.63,1.18,0.48,0.12,0.09,0.03,36.1,5.35,11.4,7.13,42.1,2.72,0.00,0.24,43.4,0.18,1.30,0.51,0.79,Matches
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,72.1,69.6,2.46,2.15,0.06,7.94,2.95,0.18,0.00,0.00,0.00,0.00,52.7,4.89,14.4,13.8,53.9,3.35,0.31,0.22,63.6,0.25,1.35,0.22,0.40,Matches
54,Álex Alegría\Alex-Alegria,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,1.6,23.8,21.9,1.88,0.00,0.00,5.63,0.63,0.00,0.00,0.00,0.00,0.00,12.5,7.50,3.75,7.50,11.3,1.88,0.00,0.00,15.0,0.00,0.00,0.63,2.50,Matches
55,Alexis Alegue\Alexis-Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,10.0,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,Matches
56,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Getafe,es La Liga,23,1995,1.6,25.6,22.5,3.13,1.88,0.00,6.88,0.00,4.38,0.00,0.00,0.00,0.00,12.5,5.63,7.50,3.75,16.9,2.50,1.25,0.00,10.0,0.63,2.50,0.63,3.13,Matches
57,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,82.7,81.0,1.69,0.70,0.14,14.9,1.83,0.42,0.14,0.00,0.00,0.00,70.0,8.31,4.37,76.8,4.08,0.56,0.85,0.14,76.1,0.28,0.56,0.85,1.27,Matches
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25.0,33.2,22.2,11.1,2.96,0.00,1.92,1.44,0.00,0.00,0.00,0.00,0.00,15.6,1.48,16.1,3.00,24.7,0.12,0.00,4.20,23.2,0.12,1.20,0.04,0.16,Matches
59,Alexander\Alexander,ar ARG,DF,Leganés,es La Liga,29,1988,0.1,70.0,50.0,20.0,10.0,0.00,0.00,0.00,30.0,10.0,0.00,10.0,0.00,40.0,0.00,30.0,70.0,0.00,0.00,0.00,0.00,40.0,0.00,0.00,0.00,0.00,Matches
