Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1229,Lee Kangin\Lee-Kangin,kr KOR,FWMF,Valencia,es La Liga,17,2001,0.3,66.7,0.00,10.0,26.7,40.0,0.00,66.7,0.00,0.00,,0.00,0,56.7,486.7,326.7,63.3,15,78.9,6.67,0.00,Matches
1230,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,eng Premier League,27,1991,34.4,71.0,1.42,11.8,38.1,26.7,2.41,70.6,0.93,1.66,56.1,1.05,2,55.2,258.9,152.3,60.0,1792,86.8,1.48,1.57,Matches
1231,Stefanos Kapino\Stefanos-Kapino,gr GRE,GK,Werder Bremen,de Bundesliga,24,1994,0.5,34.0,34.0,34.0,0.00,0.00,0.00,28.0,0.00,0.00,,0.00,0,20.0,126.0,96.0,14.0,7,100.0,0.00,0.00,Matches
1232,Wilfrid Kaptoum\Wilfrid-Kaptoum,cm CMR,MF,Betis,es La Liga,22,1996,8.6,47.9,1.16,8.14,32.4,11.4,0.81,47.7,2.33,3.26,71.4,2.33,0,37.7,238.4,126.5,41.3,307,86.5,1.40,1.40,Matches
1233,Kenan Karaman\Kenan-Karaman,tr TUR,FWMF,Düsseldorf,de Bundesliga,24,1994,10.2,40.4,0.88,4.61,19.9,18.8,6.57,39.8,1.96,2.55,76.9,2.06,1,30.9,193.2,103.6,49.5,316,62.6,2.94,2.45,Matches
1234,Yann Karamoh\Yann-Karamoh,fr FRA,MF,Inter,it Serie A,20,1998,0.1,70.0,0.00,0.00,40.0,50.0,10.0,60.0,10.0,20.0,50.0,20.0,0,70.0,560.0,370.0,60.0,6,100.0,10.0,0.00,Matches
1235,Yann Karamoh\Yann-Karamoh,fr FRA,FWMF,Bordeaux,fr Ligue 1,20,1998,13.6,56.2,0.44,5.37,28.2,28.2,4.04,52.4,4.04,6.32,64.0,4.26,1,49.7,359.0,215.4,57.7,586,74.6,2.79,3.60,Matches
1236,Ibrahim Karamoko\Ibrahim-Karamoko,gn GUI,MF,Chievo,it Serie A,17,2001,0.7,37.1,1.43,7.14,17.1,17.1,2.86,37.1,1.43,4.29,33.3,1.43,0,25.7,170.0,52.9,31.4,17,77.3,0.00,1.43,Matches
1237,Orestis Karnezis\Orestis-Karnezis,gr GRE,GK,Napoli,it Serie A,33,1985,9.0,28.0,26.0,27.9,0.11,0.00,0.00,20.3,0.00,0.00,,0.00,0,13.6,62.8,29.0,12.2,110,100.0,0.00,0.00,Matches
1238,Rick Karsdorp\Rick-Karsdorp,nl NED,DF,Roma,it Serie A,23,1995,6.6,68.9,3.33,19.7,37.3,18.0,0.15,58.3,1.21,1.97,61.5,1.52,1,45.3,305.8,181.1,44.7,270,91.5,0.00,0.61,Matches
1239,Grigoris Kastanos\Grigoris-Kastanos,cy CYP,MF,Juventus,it Serie A,20,1998,0.7,38.6,1.43,7.14,15.7,17.1,1.43,38.6,1.43,1.43,100.0,1.43,0,27.1,111.4,55.7,27.1,18,94.7,1.43,1.43,Matches
1240,Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,35,1983,1.0,41.0,38.0,41.0,0.00,0.00,0.00,23.0,0.00,0.00,,0.00,0,19.0,108.0,59.0,12.0,12,100.0,0.00,0.00,Matches
1241,Beram Kayal\Beram-Kayal,il ISR,MF,Brighton,eng Premier League,30,1988,10.4,41.3,4.04,14.2,22.8,7.02,1.15,40.1,0.77,1.35,57.1,0.77,0,24.2,152.9,88.0,23.9,211,84.7,1.25,1.25,Matches
1242,Moise Kean\Moise-Kean,it ITA,FW,Juventus,it Serie A,18,2000,6.0,29.7,0.33,3.33,11.0,17.8,6.67,29.2,1.50,4.67,32.1,1.67,1,23.0,185.7,90.2,45.5,134,49.1,3.00,2.17,Matches
1243,Michael Keane\Michael-Keane,eng ENG,DF,Everton,eng Premier League,25,1993,33.0,58.6,7.94,33.2,26.8,2.45,1.30,57.6,0.15,0.21,71.4,0.21,0,33.0,201.3,99.6,35.0,1106,95.8,0.15,0.18,Matches
1244,Neeskens Kebano\Neeskens-Kebano,cd COD,FWMF,Fulham,eng Premier League,26,1992,1.2,41.7,2.50,5.00,17.5,24.2,3.33,41.7,0.83,1.67,50.0,0.83,0,30.0,303.3,156.7,39.2,32,68.1,2.50,2.50,Matches
