Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
76,Alfons Amade\Alfons-Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
77,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Sevilla,es La Liga,25,1993,8.5,8,0.94,7,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
78,Romain Amalfitano\Romain-Amalfitano,fr FRA,MFFW,Dijon,fr Ligue 1,28,1989,28.0,32,1.14,26,0,1,2,3,2,0.07,1,0,0,1,0,0,Matches
79,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,8,1.12,8,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
80,Jordi Amat\Jordi-Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,30.7,14,0.46,11,1,0,1,1,0,0.00,0,0,0,0,0,0,Matches
81,Amath\Amath,sn SEN,MFFW,Getafe,es La Liga,22,1996,11.1,24,2.16,19,0,1,2,2,2,0.18,1,0,0,1,0,0,Matches
82,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,40,1.65,33,3,2,1,1,3,0.12,3,0,0,0,0,0,Matches
83,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32.0,25,0.78,18,4,2,1,0,1,0.03,1,0,0,0,0,0,Matches
84,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,21,1996,8.4,30,3.58,22,2,3,1,1,3,0.36,1,0,0,0,1,1,Matches
85,Yanis Ammour\Yanis-Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
86,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
87,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32.0,25,0.78,21,1,1,2,0,3,0.09,3,0,0,0,0,0,Matches
